What is your gender?,,What's your occupation?,,How long have you been engaged in software development? (except the time in school),How often do you participate in or contribute to open source software communities?,What factors motivate you to make contributions on Stack Overflow? Please choose an option for each factors.,,,,,,,,Do you have a goal of earning certain reputation points?,,Do you have a goal of earning certain badges?,,Do you have a goal of getting a certain rank in the community?,,Are you likely contribute less or even stop contributing after achieving a specific goal?,,,,How often do you check for the updates of the virtual rewards on Stack Overflow?,,,
Male,,Agree,,>10 years,Always,A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,1~5 years,Rarely,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very likely,Never,Never,Never,Never
Male,,Agree,,>10 years,Usually,The most primary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Neither agree nor disagree,,>10 years,Usually,"One of my motivations, but not important",The most primary motivation,Not my motivation,A secondary motivation,Not my motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,1~5 years,Always,The most primary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Likely,Never,Never,Never,Never
Male,,Strongly disagree,,6~10 years,Rarely,The most primary motivation,The most primary motivation,Not my motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important",The most primary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",1.5k,No,,"Yes (please specify your target ranking, e.g., top10 contributor)",Top 10 Contributor ,Unlikely,Very unlikely,Unlikely,Unlikely,Sometimes,Never,Rarely,Usually
Male,,Neither agree nor disagree,,>10 years,Sometimes,The most primary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Unemployed,,1~5 years,Usually,The most primary motivation,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Likely,Very unlikely,Very unlikely,Likely,Usually,Usually,Never,Sometimes
Male,,Strongly agree,,1~5 years,Always,The most primary motivation,The most primary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Rarely
Male,,Agree,,6~10 years,Sometimes,A secondary motivation,The most primary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",25000,No,,No,,Neither likely nor unlikely,Very unlikely,Very unlikely,Neither likely nor unlikely,Sometimes,Rarely,Rarely,Rarely
Male,,Disagree,,1~5 years,Rarely,A secondary motivation,A secondary motivation,Not my motivation,A secondary motivation,Not my motivation,A secondary motivation,"One of my motivations, but not important","Making life better for everyone, by making it easier to developers",No,,No,,"Yes (please specify your target ranking, e.g., top10 contributor)","Among the top 1,000",Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Never,Rarely,Never
Male,,Unemployed,,1~5 years,Rarely,The most primary motivation,The most primary motivation,A secondary motivation,A secondary motivation,Not my motivation,Not my motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Disagree,,6~10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Always,Always,Always,Always
Male,,Agree,,6~10 years,Sometimes,The most primary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Rarely,Rarely,Rarely
Male,,Neither agree nor disagree,,>10 years,Never,"One of my motivations, but not important",Not my motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Strongly agree,,1~5 years,Usually,A secondary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,"Yes (please specify your target points, e.g., 10k reputation points)",3000,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Rarely,Rarely,Rarely
Male,,Neither agree nor disagree,,>10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,A secondary motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Rarely,Rarely,Never,Rarely
Male,,,systems and applications maintainer,>10 years,Sometimes,The most primary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",returning the favour of getting help,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Never
Male,,Unemployed,,>10 years,Never,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,I dont care about one reads my answers. They cannot work anyway. Doing that to find my own decision in future. And for the joy when people thank me. Nothing else.,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Sometimes,Rarely,Never
Male,,Strongly disagree,,1~5 years,Sometimes,The most primary motivation,Not my motivation,"One of my motivations, but not important",The most primary motivation,A secondary motivation,Not my motivation,A secondary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",10000,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Agree,,1~5 years,Sometimes,The most primary motivation,"One of my motivations, but not important",Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Never
Male,,Agree,,6~10 years,Rarely,"One of my motivations, but not important",The most primary motivation,A secondary motivation,A secondary motivation,,A secondary motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Sometimes,The most primary motivation,A secondary motivation,The most primary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",,"Yes (please specify your target points, e.g., 10k reputation points)",10k because not every user reaches that amount of points,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Always,Sometimes,Sometimes,Sometimes
Male,,Strongly disagree,,>10 years,Rarely,A secondary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Sometimes,The most primary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Rarely,Never,Never
Male,,Neither agree nor disagree,,>10 years,Usually,"One of my motivations, but not important",A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Rarely,Rarely,Never,Never
Male,,Agree,,>10 years,Usually,A secondary motivation,A secondary motivation,Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Usually,Usually,Usually,Usually
Male,,Agree,,>10 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Usually,Usually,Never,Rarely
Male,,,software developer,>10 years,Sometimes,The most primary motivation,"One of my motivations, but not important",Not my motivation,A secondary motivation,A secondary motivation,Not my motivation,Not my motivation,,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Never,Rarely
Male,,Strongly disagree,,1~5 years,Usually,Not my motivation,Not my motivation,The most primary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Rarely
Male,,Agree,,>10 years,Rarely,The most primary motivation,The most primary motivation,"One of my motivations, but not important",The most primary motivation,The most primary motivation,Not my motivation,The most primary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",1000+,"Yes (please specify the most desired badge you want to earn, e.g., explainer)",At least one rare or one gold,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Very unlikely,Sometimes,Sometimes,Sometimes,Sometimes
Male,,Agree,,6~10 years,Rarely,The most primary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Never,Never,Never
Male,,Agree,,>10 years,Always,The most primary motivation,A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Never,Never
Male,,Neither agree nor disagree,,>10 years,Rarely,The most primary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Unemployed,,1~5 years,Rarely,The most primary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Unlikely,Unlikely,Likely,Likely,Never,Never,Never,Never
Male,,Agree,,>10 years,Never,A secondary motivation,The most primary motivation,,A secondary motivation,A secondary motivation,"One of my motivations, but not important",A secondary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",10000,"Yes (please specify the most desired badge you want to earn, e.g., explainer)",Anything to do with awesome answers (most of my rep is via questions),"Yes (please specify your target ranking, e.g., top10 contributor)",top 5% overall,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Usually,Usually,Usually,Rarely
Male,,Unemployed,,<1 year,Sometimes,A secondary motivation,The most primary motivation,"One of my motivations, but not important",A secondary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Sometimes
Male,,Agree,,>10 years,Sometimes,The most primary motivation,The most primary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Unlikely,Unlikely,Unlikely,Unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Neither agree nor disagree,,>10 years,Never,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Rarely,Never,Never
Male,,Agree,,1~5 years,Sometimes,The most primary motivation,The most primary motivation,A secondary motivation,A secondary motivation,A secondary motivation,"One of my motivations, but not important","One of my motivations, but not important",,No,,"Yes (please specify the most desired badge you want to earn, e.g., explainer)",gold badge in my primary tech,"Yes (please specify your target ranking, e.g., top10 contributor)",top 5%,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Strongly agree,,6~10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Disagree,,6~10 years,Sometimes,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",A secondary motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Rarely,Rarely
Male,,Strongly agree,,6~10 years,Usually,The most primary motivation,The most primary motivation,"One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important","One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Never,Never,Never
Male,,Agree,,>10 years,Rarely,A secondary motivation,A secondary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never
Male,,Agree,,6~10 years,Sometimes,The most primary motivation,The most primary motivation,The most primary motivation,The most primary motivation,The most primary motivation,The most primary motivation,The most primary motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",10k,"Yes (please specify the most desired badge you want to earn, e.g., explainer)",All badges ,"Yes (please specify your target ranking, e.g., top10 contributor)",10,Unlikely,Unlikely,Unlikely,Unlikely,Always,Usually,Usually,Usually
Male,,Agree,,6~10 years,Always,A secondary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important","One of my motivations, but not important",Not my motivation,Not my motivation,,"Yes (please specify your target points, e.g., 10k reputation points)",100k,"Yes (please specify the most desired badge you want to earn, e.g., explainer)",Generalist,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Sometimes
Male,,Agree,,>10 years,Sometimes,The most primary motivation,The most primary motivation,Not my motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,"One of my motivations, but not important",,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Sometimes,Rarely,Rarely,Rarely
Male,,Agree,,6~10 years,Sometimes,"One of my motivations, but not important",A secondary motivation,"One of my motivations, but not important",Not my motivation,Not my motivation,Not my motivation,Not my motivation,,No,,No,,No,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Rarely,Rarely,Never,Rarely
